identifier,name,description,option0,option1,option2,result0,result1,result2,desc0,desc1,desc2,isAvailable
The Off Beat Parade,The Off Beat Parade,Your path is suddenly blocked by a strange parade.\nA group of Off Beat Hoppits are dancing in completely wrong rhythm\nThey shout JOIN US JOIN US DANCING WRONG IS FUN\nIt is chaotic and painful yet strangely cheerful,Join their dance,Fix their rhythm,,addTempDamage|20,addExchange|-1|fillColor|4,,You try to mimic their chaotic rhythm and fail badly but the Hoppits adore your enthusiasm,You spend some time to sync their rhythm,,1
The Giraffe’s Infinite Note,The Giraffe’s Infinite Note,"Ahead of you, a Long-Note Giraffe is holding a very, very, VERY long note - so long it has wrapped around the mountains twice.\nHe looks light-headed but cannot stop.",Cut the note gently,Try to harmonize with him,,addGold|3,addMaxHP|10,,"You send out a precise pitch-cut.The note snaps instantly.\nThe giraffe collapses, gasping:“Thank you… I haven’t breathed in three days…”","You join his long note. Your pitch stabilizes his vibration,forming a soothing harmonic drone.\nHe bows gratefully and leaves.",,1
Cloud Chorus Auditions,Cloud Chorus Auditions,A group of Noise Puffs are auditioning for the Royal Cloud Chorus but can only produce static hisses and pops\nThe judges are arguing about which noise texture is better and you are dragged in as a guest judge,Pick the cutest puff,Teach them a simple harmony,,addSkill|1,damage|10|addDamage|10,,The chosen puff vibrates happily and gives you a fluffy little gift,You try hard to teach them real notes They fail completely but create a lovely accidental harmony\nFor the next 2 battles all enemies deal 15 percent less damage,,1
Jump Beat Bridge,Jump Beat Bridge,You reach a bridge that vibrates in rhythmic pulses stepping off beat launches you upward\nA sign beside it reads Be careful no compensation for missed beats,Cross in rhythm,Dash through,,addTempDamage|20,damage|10|addGold|1,,You cross gracefully by stepping in perfect rhythm,You are bounced violently but you make it across. You tumble to the other side of the bridge and spot something shiny in the grass.,,1
The Harmonic Cave Collapse,The Harmonic Cave Collapse,A cave entrance shines with golden glimmers hinting at rich gold deposits inside\nBut the ceiling makes subtle clicking noises as if it could collapse any moment,,,,,,,,,,
The Tri Tone Puzzle Lock,The Tri Tone Puzzle Lock,,,,,,,,,,,
The Giant Headphone Festival,The Giant Headphone Festival,,,,,,,,,,,
The Percussion Forest,The Percussion Forest,You enter a forest where trees produce drum sounds when hit\nOne tree asks politely for you to hit it assures you it does not hurt,Tap the tree,Hit hard,,addGold|1,damage|10|addTempDamage|20,,The tree produces a crisp drum hit and is pleased,The tree spins and scolds you,,1
Rhythm Slot Machine,Rhythm Slot Machine,,,,,,,,,,,
Boom Cat Nap Carpet,Boom Cat Nap Carpet,,,,,,,,,,,
Reverb Valley Echo,Reverb Valley Echo,,,,,,,,,,,
Rhythm Tree Leaf Exam,Rhythm Tree Leaf Exam,,,,,,,,,,,
Earplug Merchant,Earplug Merchant,A merchant sells giant earplugs labeled Princess Song Defense\nHe insists you need them,Buy earplugs,Make him wear it,,,,,,,,
Music Balloon Lift Off,Music Balloon Lift Off,,,,,,,,,,,
